Start	End	Direction
STAT1	IL12A	1
STAT1	HLA-DRB5	1
STAT1	HLA-DRB4	1
STAT1	HLA-DRB3	1
STAT1	HLA-DRB1	1
STAT1	HLA-DRA	1
STAT1	HLA-DQB1	1
STAT1	HLA-DQA2	1
STAT1	HLA-DQA1	1
STAT1	HLA-DPB1	1
STAT1	HLA-DPA1	1
STAT1	HLA-DOB	1
STAT1	HLA-DOA	1
STAT1	HLA-DMB	1
STAT1	HLA-DMA	1
STAT1	COL1A2	1
STAT1	COL1A1	1
STAT1	TNFSF11	1
STAT1	TH	1
STAT1	SLC2A2	1
STAT1	PRLR	1
STAT1	LHCGR	1
STAT1	IRF1	1
STAT1	INS	1
STAT1	GCK	1
STAT1	ESR2	1
STAT1	ESR1	1
STAT1	ELF5	1
STAT1	CSN2	1
STAT1	TBX21	1
STAT1	IL12RB2	1
STAT1	IL12RB1	1
STAT1	IFNG	1
STAT1	SOCS6	1
STAT1	MCL1	1
STAT1	GFAP	1
STAT1	CISH	1
STAT1	CDKN1A	1
STAT1	BCL2L1	1
STAT1	BCL2	1
STAT1	AOX1	1
STAT1	IL17D	1
STAT1	CXCL9	1
STAT1	RIPK1	1
STAT1	EIF2AK2	1
STAT1	VEGFC	1
STAT1	VEGFB	1
STAT1	VEGFA	1
STAT1	SOCS7	1
STAT1	SOCS5	1
STAT1	SOCS4	1
STAT1	SOCS3	1
STAT1	SOCS2	1
STAT1	SOCS1	1
STAT1	PIM1	1
STAT1	PGF	1
STAT1	MYC	1
STAT1	FIGF	1
STAT1	CXCL11	1
STAT1	CXCL10	1
STAT1	CCND3	1
STAT1	CCND2	1
STAT1	CCND1	1
KIR2DL5A	CDKN1A	1
KIR2DL4	CDKN1A	1
KIR2DL3	CDKN1A	1
SRF	FOSL1	1
SRF	EGR2	1
SRF	EGR1	1
SRF	FOS	1
KIR2DL2	CDKN1A	1
PRKACB	NR4A2	1
PRKACB	STAR	1
PRKACB	HSD3B2	1
PRKACB	HSD3B1	1
PRKACB	HSD17B7	1
PRKACB	HSD17B2	1
PRKACB	HSD17B1	1
PRKACB	CYP19A1	1
PRKACB	CYP17A1	1
PRKACB	AKR1C3	1
PRKACB	EHMT2	1
PRKACB	EHMT1	1
KIR2DL1	CDKN1A	1
KDM3B	UCP1	1
KDM3A	UCP1	1
JUP	PPARD	1
JUP	MYC	1
JUP	CCND1	1
CREB3L3	CCND1	1
CREB3L3	PTGER4	1
CREB3L3	PCNA	1
CREB3L3	CXCL8	1
CREB3L3	NPY	1
CREB3L3	CRH	1
CREB3L3	FOSB	1
CREB3L3	ARC	1
CREB3L3	PDYN	1
CREB3L3	POMC	1
CREB3L3	TNFSF11	1
CREB3L3	CDKN1A	1
CREB3L3	NCEH1	1
CREB3L3	CYP17A1	1
CREB3L3	CYP11B1	1
CREB3L3	VEGFD	1
CREB3L3	VEGFC	1
CREB3L3	VEGFB	1
CREB3L3	VEGFA	1
CREB3L3	STAR	1
CREB3L3	CYP11B2	1
CREB3L3	SIK1B	1
CREB3L3	SIK1	1
CREB3L3	PPARGC1A	1
CREB3L3	PCK2	1
CREB3L3	PCK1	1
CREB3L3	G6PC3	1
CREB3L3	G6PC2	1
CREB3L3	G6PC	1
CREB3L3	CPT1C	1
CREB3L3	CPT1B	1
CREB3L3	CPT1A	1
CREB3L3	TG	1
CREB3L3	INS	1
CREB3L3	ZNF516	1
CREB3L3	UCP1	1
CREB3L3	MCL1	1
CREB3L3	BCL2	1
CREB3L3	JUN	1
CREB3L3	FOS	1
CREB3L3	BDNF	1
CREB3L3	MITF	1
CREB3L3	AQP2	1
NFATC3	FGF2	1
NFATC3	CXCL3	1
NFATC3	CXCL2	1
NFATC3	CXCL1	1
NFATC3	CXCL8	1
NFATC3	RGS2	1
NFATC3	RCAN1	1
NFATC3	TNF	1
NFATC3	CSF2	1
NFATC3	CDK4	1
NFATC3	IL22	1
NFATC3	IL21	1
NFATC3	IL17F	1
NFATC3	IL17A	1
NFATC3	TBX21	1
NFATC3	IL5	1
NFATC3	IL4R	1
NFATC3	IL4	1
NFATC3	IL2RA	1
NFATC3	IL13	1
NFATC3	IL12RB2	1
NFATC3	IL12RB1	1
NFATC3	IFNG	1
NFATC3	GATA3	1
NFATC3	PTGS2	1
NFATC3	IL2	1
NFATC3	IL17D	1
NFATC3	IL10	1
NFATC3	EGR3	1
NFATC3	EGR2	1
NFATC3	TRPC6	1
NFATC3	NPPB	1
NFATC3	MYH7	1
SPI1	ITGAM	1
SPI1	FCGR1A	1
SPI1	CD14	1
SPI1	FOSL1	1
SPI1	FOS	1
SPI1	EGR2	1
SPI1	EGR1	1
SPI1	CSF3R	1
SPI1	CSF2RA	1
SPI1	CSF1R	1
PRKACA	NR4A2	1
PRKACA	STAR	1
PRKACA	HSD3B2	1
PRKACA	HSD3B1	1
PRKACA	HSD17B7	1
PRKACA	HSD17B2	1
PRKACA	HSD17B1	1
PRKACA	CYP19A1	1
PRKACA	CYP17A1	1
PRKACA	AKR1C3	1
PRKACA	EHMT2	1
PRKACA	EHMT1	1
JUND	LRP6	1
JUND	LRP5	1
JUND	BGLAP	1
JUND	IL6	1
JUND	NFATC1	1
JUND	ITGB3	1
JUND	IFNB1	1
JUND	CTSK	1
JUND	CALCR	1
JUND	ACP5	1
FOXO3	GALT	1
FOXO3	SOD1	1
FOXO3	HSPA8	1
FOXO3	HSPA6	1
FOXO3	HSPA2	1
FOXO3	HSPA1L	1
FOXO3	HSPA1B	1
FOXO3	HSPA1A	1
FOXO3	CRYAB	1
FOXO3	ATG5	1
FOXO3	TNFSF10	1
FOXO3	SOD2	1
FOXO3	S1PR4	1
FOXO3	S1PR1	1
FOXO3	RBL2	1
FOXO3	RAG2	1
FOXO3	RAG1	1
FOXO3	PLK4	1
FOXO3	PLK3	1
FOXO3	PLK2	1
FOXO3	PLK1	1
FOXO3	PCK2	1
FOXO3	PCK1	1
FOXO3	KLF2	1
FOXO3	IL7R	1
FOXO3	GADD45G	1
FOXO3	GADD45B	1
FOXO3	GADD45A	1
FOXO3	GABARAPL2	1
FOXO3	GABARAPL1	1
FOXO3	GABARAP	1
FOXO3	G6PC3	1
FOXO3	G6PC2	1
FOXO3	G6PC	1
FOXO3	FBXO32	1
FOXO3	FBXO25	1
FOXO3	FASLG	1
FOXO3	CDKN2D	1
FOXO3	CDKN2B	1
FOXO3	CDKN1B	1
FOXO3	CDKN1A	1
FOXO3	CCNG2	1
FOXO3	CCND2	1
FOXO3	CCND1	1
FOXO3	CCNB3	1
FOXO3	CCNB2	1
FOXO3	CCNB1	1
FOXO3	CAT	1
FOXO3	BNIP3	1
FOXO3	BCL6	1
FOXO3	ATM	1
FOXO3	ATG12	1
FOXO3	BCL2L11	1
PRKAB2	SPHK2	1
PRKAB2	SPHK1	1
PRKAB2	PPARGC1A	1
PRKAB2	PLIN1	1
PRKAB2	KLF2	1
JUNB	NFATC1	1
JUNB	ITGB3	1
JUNB	IFNB1	1
JUNB	CTSK	1
JUNB	CALCR	1
JUNB	ACP5	1
SP1	PPARD	1
SP1	MYC	1
SP1	CCND1	1
SP1	PTH	1
SP1	STAR	1
SP1	NCEH1	1
SP1	CYP17A1	1
SP1	CYP11B1	1
SP1	BNIP3L	1
SP1	CDKN2B	1
ZBTB17	CDKN2B	1
PRKAB1	SPHK2	1
PRKAB1	SPHK1	1
PRKAB1	PPARGC1A	1
PRKAB1	PLIN1	1
PRKAB1	KLF2	1
SOX9	AMH	1
RBL2	MYC	1
PRKAA2	SPHK2	1
PRKAA2	SPHK1	1
PRKAA2	PPARGC1A	1
PRKAA2	PLIN1	1
PRKAA2	KLF2	1
PRKAA1	SPHK2	1
PRKAA1	SPHK1	1
PRKAA1	PPARGC1A	1
PRKAA1	PLIN1	1
PRKAA1	KLF2	1
SOS2	SPRY4	1
SOS2	SPRY3	1
SOS2	SPRY2	1
SOS2	SPRY1	1
SOS2	SPRED2	1
SOS2	SPRED1	1
SOS2	MYC	1
SOS2	CCND3	1
SOS2	CCND2	1
SOS2	CCND1	1
SOS2	BCL2L1	1
NFATC2	FGF2	1
NFATC2	CXCL3	1
NFATC2	CXCL2	1
NFATC2	CXCL1	1
NFATC2	CXCL8	1
NFATC2	RGS2	1
NFATC2	RCAN1	1
NFATC2	TNF	1
NFATC2	CSF2	1
NFATC2	CDK4	1
NFATC2	IL22	1
NFATC2	IL21	1
NFATC2	IL17F	1
NFATC2	IL17A	1
NFATC2	TBX21	1
NFATC2	IL5	1
NFATC2	IL4R	1
NFATC2	IL4	1
NFATC2	IL2RA	1
NFATC2	IL13	1
NFATC2	IL12RB2	1
NFATC2	IL12RB1	1
NFATC2	IFNG	1
NFATC2	GATA3	1
NFATC2	IL2	1
NFATC2	IL17D	1
NFATC2	IL10	1
NFATC2	EGR3	1
NFATC2	EGR2	1
NFATC2	PTGS2	1
NFATC2	TRPC6	1
NFATC2	NPPB	1
NFATC2	MYH7	1
CREB3L2	CCND1	1
CREB3L2	PTGER4	1
CREB3L2	PCNA	1
CREB3L2	CXCL8	1
CREB3L2	NPY	1
CREB3L2	CRH	1
CREB3L2	FOSB	1
CREB3L2	ARC	1
CREB3L2	PDYN	1
CREB3L2	POMC	1
CREB3L2	TNFSF11	1
CREB3L2	CDKN1A	1
CREB3L2	NCEH1	1
CREB3L2	CYP17A1	1
CREB3L2	CYP11B1	1
CREB3L2	VEGFD	1
CREB3L2	VEGFC	1
CREB3L2	VEGFB	1
CREB3L2	VEGFA	1
CREB3L2	STAR	1
CREB3L2	CYP11B2	1
CREB3L2	SIK1B	1
CREB3L2	SIK1	1
CREB3L2	PPARGC1A	1
CREB3L2	PCK2	1
CREB3L2	PCK1	1
CREB3L2	G6PC3	1
CREB3L2	G6PC2	1
CREB3L2	G6PC	1
CREB3L2	CPT1C	1
CREB3L2	CPT1B	1
CREB3L2	CPT1A	1
CREB3L2	TG	1
CREB3L2	INS	1
CREB3L2	ZNF516	1
CREB3L2	UCP1	1
CREB3L2	MCL1	1
CREB3L2	BCL2	1
CREB3L2	JUN	1
CREB3L2	FOS	1
CREB3L2	BDNF	1
CREB3L2	MITF	1
CREB3L2	AQP2	1
YAP1	SOX2	1
YAP1	SNAI2	1
YAP1	SMAD7	1
YAP1	SERPINE1	1
YAP1	NKD1	1
YAP1	MYC	1
YAP1	ITGB2	1
YAP1	ID2	1
YAP1	ID1	1
YAP1	GLI2	1
YAP1	FGF1	1
YAP1	CTGF	1
YAP1	CCND3	1
YAP1	CCND2	1
YAP1	CCND1	1
YAP1	BIRC5	1
YAP1	BIRC2	1
YAP1	BBC3	1
YAP1	AXIN2	1
YAP1	AXIN1	1
YAP1	AREG	1
YAP1	AFP	1
XBP1	CEBPA	1
SOS1	SPRY4	1
SOS1	SPRY3	1
SOS1	SPRY2	1
SOS1	SPRY1	1
SOS1	SPRED2	1
SOS1	SPRED1	1
SOS1	MYC	1
SOS1	CCND3	1
SOS1	CCND2	1
SOS1	CCND1	1
SOS1	BCL2L1	1
SMAD9	DUSP9	1
SMAD9	ID4	1
SMAD9	ID3	1
SMAD9	ID2	1
SMAD9	ID1	1
SMAD5	DUSP9	1
SMAD5	ID4	1
SMAD5	ID3	1
SMAD5	ID2	1
SMAD5	ID1	1
WWTR1	SMAD7	1
WWTR1	SERPINE1	1
WWTR1	ITGB2	1
WWTR1	GLI2	1
WWTR1	FGF1	1
WWTR1	CTGF	1
WWTR1	BIRC5	1
WWTR1	BBC3	1
WWTR1	AREG	1
WWTR1	AFP	1
WDR5B	CDKN2C	1
WDR5B	CDKN2B	1
WDR5B	CDKN2A	1
WDR5B	CDKN1B	1
WDR5	CDKN2C	1
WDR5	CDKN2B	1
WDR5	CDKN2A	1
WDR5	CDKN1B	1
SMAD4	RORC	1
SMAD4	RORA	1
SMAD4	IL23R	1
SMAD4	IL12RB1	1
SMAD4	FOXP3	1
SMAD4	SMAD7	1
SMAD4	SERPINE1	1
SMAD4	CTGF	1
SMAD4	PITX2	1
SMAD4	MYC	1
SMAD4	ID4	1
SMAD4	ID3	1
SMAD4	ID2	1
SMAD4	ID1	1
SMAD4	CDKN2B	1
SMAD4	CDKN1A	1
VDR	TRPV6	1
VDR	SLC34A2	1
VDR	S100G	1
VDR	ATP2B1	1
VDR	TRPV5	1
VDR	SLC8A1	1
VDR	CALB1	1
VDR	PTH	1
U2AF1L5	CXCL8	1
FOXO1	CPT1C	1
FOXO1	CPT1B	1
FOXO1	CPT1A	1
FOXO1	ATG5	1
FOXO1	TNFSF10	1
FOXO1	SOD2	1
FOXO1	S1PR4	1
FOXO1	S1PR1	1
FOXO1	RBL2	1
FOXO1	RAG2	1
FOXO1	RAG1	1
FOXO1	PLK4	1
FOXO1	PLK3	1
FOXO1	PLK2	1
FOXO1	PLK1	1
FOXO1	KLF2	1
FOXO1	IL7R	1
FOXO1	GADD45G	1
FOXO1	GADD45B	1
FOXO1	GADD45A	1
FOXO1	GABARAPL2	1
FOXO1	GABARAPL1	1
FOXO1	GABARAP	1
FOXO1	G6PC3	1
FOXO1	FBXO32	1
FOXO1	FBXO25	1
FOXO1	FASLG	1
FOXO1	CDKN2D	1
FOXO1	CDKN2B	1
FOXO1	CDKN1B	1
FOXO1	CDKN1A	1
FOXO1	CCNG2	1
FOXO1	CCND2	1
FOXO1	CCND1	1
FOXO1	CCNB3	1
FOXO1	CCNB2	1
FOXO1	CCNB1	1
FOXO1	CAT	1
FOXO1	BNIP3	1
FOXO1	BCL6	1
FOXO1	BCL2L11	1
FOXO1	ATM	1
FOXO1	ATG12	1
FOXO1	PCK2	1
FOXO1	PCK1	1
FOXO1	G6PC2	1
FOXO1	G6PC	1
FOXO1	FBP2	1
FOXO1	FBP1	1
U2AF1L4	CXCL8	1
CREB3L1	CCND1	1
CREB3L1	PTGER4	1
CREB3L1	PCNA	1
CREB3L1	CXCL8	1
CREB3L1	NPY	1
CREB3L1	CRH	1
CREB3L1	FOSB	1
CREB3L1	ARC	1
CREB3L1	PDYN	1
CREB3L1	POMC	1
CREB3L1	TNFSF11	1
CREB3L1	CDKN1A	1
CREB3L1	NCEH1	1
CREB3L1	CYP17A1	1
CREB3L1	CYP11B1	1
CREB3L1	VEGFD	1
CREB3L1	VEGFC	1
CREB3L1	VEGFB	1
CREB3L1	VEGFA	1
CREB3L1	STAR	1
CREB3L1	CYP11B2	1
CREB3L1	SIK1B	1
CREB3L1	SIK1	1
CREB3L1	PPARGC1A	1
CREB3L1	PCK2	1
CREB3L1	PCK1	1
CREB3L1	G6PC3	1
CREB3L1	G6PC2	1
CREB3L1	G6PC	1
CREB3L1	CPT1C	1
CREB3L1	CPT1B	1
CREB3L1	CPT1A	1
CREB3L1	TG	1
CREB3L1	INS	1
CREB3L1	ZNF516	1
CREB3L1	UCP1	1
CREB3L1	MCL1	1
CREB3L1	BCL2	1
CREB3L1	JUN	1
CREB3L1	FOS	1
CREB3L1	BDNF	1
CREB3L1	MITF	1
CREB3L1	AQP2	1
U2AF1	CXCL8	1
U2AF1	IL8	1
PDX1	NR5A2	1
PDX1	NKX6-1	1
PDX1	INS	1
PDX1	HNF4A	1
PAX6	PDX1	1
PAX6	INS	1
PAX6	IAPP	1
PAX6	GCK	1
FOXA2	SOD2	1
FOXA2	CAT	1
FOXA2	PDX1	1
NKX2-2	INS	1
NKX2-2	IAPP	1
NKX2-2	GCK	1
PPARG	FOS	1
PPARG	PLIN5	1
PPARG	PLIN4	1
PPARG	PLIN2	1
PPARG	ACSBG2	1
PPARG	ACSBG1	1
PPARG	UCP1	1
PPARG	SORBS1	1
PPARG	SLC27A4	1
PPARG	SLC27A1	1
PPARG	SCD5	1
PPARG	SCD	1
PPARG	PLIN1	1
PPARG	PCK2	1
PPARG	PCK1	1
PPARG	OLR1	1
PPARG	NR1H3	1
PPARG	MMP1	1
PPARG	LPL	1
PPARG	GK2	1
PPARG	GK	1
PPARG	FABP4	1
PPARG	CYP27A1	1
PPARG	CPT1C	1
PPARG	CPT1B	1
PPARG	CPT1A	1
PPARG	CD36	1
PPARG	AQP7	1
PPARG	ANGPTL4	1
PPARG	ADIPOQ	1
PPARG	ACSL6	1
PPARG	ACSL5	1
PPARG	ACSL4	1
PPARG	ACSL3	1
PPARG	ACSL1	1
NEUROG3	PAX6	1
NEUROG3	PAX4	1
NEUROG3	NKX2-2	1
NEUROG3	NEUROD1	1
FOSL2	NFATC1	1
FOSL2	ITGB3	1
FOSL2	IFNB1	1
FOSL2	CTSK	1
FOSL2	CALCR	1
FOSL2	ACP5	1
TTF2	TG	1
TTF1	TG	1
NEUROD1	INS	1
NEUROD1	IAPP	1
NEUROD1	GCK	1
SMAD3	MYC	1
SMAD3	COL4A6	1
SMAD3	COL4A5	1
SMAD3	COL4A4	1
SMAD3	COL4A3	1
SMAD3	COL4A2	1
SMAD3	COL4A1	1
SMAD3	COL3A1	1
SMAD3	COL1A2	1
SMAD3	COL1A1	1
SMAD3	RORC	1
SMAD3	RORA	1
SMAD3	IL23R	1
SMAD3	IL12RB1	1
SMAD3	FOXP3	1
SMAD3	SMAD7	1
SMAD3	SERPINE1	1
SMAD3	SPHK2	1
SMAD3	SPHK1	1
SMAD3	CTGF	1
SMAD3	CDH1	1
SMAD3	ACTA2	1
SMAD3	PITX2	1
SMAD3	MYC	1
SMAD3	CDKN2B	1
SMAD3	CDKN1A	1
RELA	PDGFB	1
RELA	PDGFA	1
RELA	CTSL	1
RELA	VIM	1
RELA	ITGAL	1
RELA	FCER2	1
RELA	ENTPD8	1
RELA	ENTPD3	1
RELA	ENTPD1	1
RELA	CD58	1
RELA	CD44	1
RELA	CD40	1
RELA	FGF2	1
RELA	CXCL3	1
RELA	LTA	1
RELA	IL15RA	1
RELA	IL15	1
RELA	IL18	1
RELA	CEBPG	1
RELA	CEBPB	1
RELA	BIRC8	1
RELA	BIRC7	1
RELA	THBD	1
RELA	SERPINE1	1
RELA	SELE	1
RELA	ICAM1	1
RELA	F3	1
RELA	EDN1	1
RELA	CCL2	1
RELA	AGER	1
RELA	IL1A	1
RELA	VEGFD	1
RELA	MMP9	1
RELA	MMP2	1
RELA	CSF2	1
RELA	CDK4	1
RELA	TBX21	1
RELA	IL5	1
RELA	IL4R	1
RELA	IL4	1
RELA	IL2RA	1
RELA	IL2	1
RELA	IL13	1
RELA	IL12RB2	1
RELA	IL12RB1	1
RELA	IFNG	1
RELA	GATA3	1
RELA	IL23A	1
RELA	IL10	1
RELA	IFNW1	1
RELA	IFNK	1
RELA	IFNE	1
RELA	IFNA8	1
RELA	IFNA7	1
RELA	IFNA6	1
RELA	IFNA5	1
RELA	IFNA4	1
RELA	IFNA21	1
RELA	IFNA2	1
RELA	IFNA17	1
RELA	IFNA16	1
RELA	IFNA14	1
RELA	IFNA13	1
RELA	IFNA10	1
RELA	IFNA1	1
RELA	CXCL10	1
RELA	IL12B	1
RELA	IL12A	1
RELA	CCL3L3	1
RELA	CCL3L1	1
RELA	CCL3	1
RELA	NFATC1	1
RELA	IFNB1	1
RELA	PTPN13	1
RELA	GADD45G	1
RELA	GADD45A	1
RELA	CFLAR	1
RELA	BIRC5	1
RELA	MYB	1
RELA	BNIP3	1
RELA	HIF1A	1
RELA	VCAM1	1
RELA	TNFAIP3	1
RELA	PLAU	1
RELA	NFKBIA	1
RELA	NFKB2	1
RELA	GADD45B	1
RELA	CXCL8	1
RELA	CXCL2	1
RELA	CCL4L2	1
RELA	CCL4L1	1
RELA	CCL4	1
RELA	BCL2A1	1
RELA	AMH	1
RELA	TNF	1
RELA	IL6	1
RELA	IL1B	1
RELA	XIAP	1
RELA	VEGFC	1
RELA	VEGFB	1
RELA	VEGFA	1
RELA	TRAF6	1
RELA	TRAF5	1
RELA	TRAF4	1
RELA	TRAF3	1
RELA	TRAF2	1
RELA	TRAF1	1
RELA	SOCS3	1
RELA	PTGS2	1
RELA	PGF	1
RELA	NOS2	1
RELA	IL8	1
RELA	FIGF	1
RELA	CXCL1	1
RELA	CCND1	1
RELA	CCL5	1
RELA	BIRC3	1
RELA	BIRC2	1
RELA	BCL2L1	1
RELA	BCL2	1
NFKB1	BIRC3	1
NFKB1	BIRC2	1
NFKB1	BCL2L1	1
NFKB1	BCL2	1
NFKB1	PDGFB	1
NFKB1	PDGFA	1
NFKB1	CTSL	1
NFKB1	VIM	1
NFKB1	ITGAL	1
NFKB1	FCER2	1
NFKB1	ENTPD8	1
NFKB1	ENTPD3	1
NFKB1	ENTPD1	1
NFKB1	CD58	1
NFKB1	CD44	1
NFKB1	CD40	1
NFKB1	FGF2	1
NFKB1	CXCL3	1
NFKB1	LTA	1
NFKB1	IL15RA	1
NFKB1	IL15	1
NFKB1	IL18	1
NFKB1	CEBPG	1
NFKB1	CEBPB	1
NFKB1	BIRC8	1
NFKB1	BIRC7	1
NFKB1	THBD	1
NFKB1	SERPINE1	1
NFKB1	SELE	1
NFKB1	ICAM1	1
NFKB1	F3	1
NFKB1	EDN1	1
NFKB1	CCL2	1
NFKB1	AGER	1
NFKB1	IL1A	1
NFKB1	VEGFD	1
NFKB1	MMP9	1
NFKB1	MMP2	1
NFKB1	CSF2	1
NFKB1	CDK4	1
NFKB1	TBX21	1
NFKB1	IL5	1
NFKB1	IL4R	1
NFKB1	IL4	1
NFKB1	IL2RA	1
NFKB1	IL2	1
NFKB1	IL13	1
NFKB1	IL12RB2	1
NFKB1	IL12RB1	1
NFKB1	IFNG	1
NFKB1	GATA3	1
NFKB1	IL23A	1
